start_id,end_id,type
Simoeis,Oceanus,father
Spercheus,Oceanus,father
Caystrus,Oceanus,father
Aethra,Oceanus,father
Leuce,Oceanus,father
Nephele,Oceanus,father
Thaleia,Nereus,father
Neaera,Nereus,father
Hydaspes,Thaumas,father
Orithyia,Nereus,father
Deiopea,Nereus,father
Glyce,Nereus,father
Cabeiro,Proteus,father
Iris,Thaumas,father
Arke,Thaumas,father
Tyche,Zeus,father
Aletheia,Zeus,father
Rhodos,Poseidon,father
Amalthea,Helios,father
Aegiale,Helios,father
Phaethusa,Helios,father
Lampetia,Helios,father
Hermes,Zeus,father
Heracles,Zeus,father
Perseus,Zeus,father
Ceroessa,Zeus,father
Thrassa,Ares,father
Cymopoleia,Poseidon,father
Nysa,Aristaeus,father
Macris,Aristaeus,father
Ersa,Zeus,father
Atë,Zeus,father
Scamander,Zeus,father
Amyrus,Poseidon,father
Thysa,Dionysus,father
Thalia,Hephaestus,father
Phasis,Helios,father
Aegle,Zeus,father
Mnemosyne,Zeus,father
Astris,Helios,father
Beroe,Adonis,father
Hamadryas,Oreius,father
Menoites,Keuthonymos,father
Chariclo,Apollo,father
Triton,Poseidon,father
Proteus,Poseidon,father
Charybdis,Poseidon,father
Glaucus,Poseidon,father
Caanthus,Poseidon,father
Apollonis,Apollo,father
Chrysus,Zeus,father
Eurymedon,Hephaestus,father
Phaethousa,Helios,father
Opus II,Zeus,father
Cephisso,Apollo,father
Angelia,Hermes,father
Tyche,Hermes,father
Calypso,Atlas,father
Epimetheus,Iapetos,father
Prometheus,Iapetos,father
Atlas,Iapetos,father
Leto,Coeus,father
Lelantos,Coeus,father
Poseidon,Cronus,father
Hestia,Cronus,father
Nike,Pallas,father
Chariclo,Perses,father
Aura,Lelantos,father
Taygete,Atlas,father
Menoetius,Iapetos,father
Anchiale,Iapetos,father
Asteria,Coeus,father
Euros,Astraeus,father
Notus,Astraeus,father
Caecias,Astraeus,father
Lips,Astraeus,father
Apeliotes,Astraeus,father
Sciron,Astraeus,father
Argestes,Astraeus,father
Astraeus,Kreios,father
Pallas,Kreios,father
Perses,Kreios,father
Phaenon,Astraeus,father
Pyroeis,Astraeus,father
Maia,Atlas,father
Merope,Atlas,father
Sterope,Atlas,father
Electra,Atlas,father
Zeus,Cronus,father
Hera,Cronus,father
Demeter,Cronus,father
Stilbon,Astraeus,father
Boreas,Astraeus,father
Zephyrus,Astraeus,father
Celaeno,Atlas,father
Alcyone,Atlas,father
Dioné,Atlas,father
Keltos,Heracles,father
Eucleia,Heracles,father
Coronis,Atlas,father
Hecate,Perses,father
Hades,Cronus,father
Pothos,Cronus,father
Aidos,Prometheus,father
Pan,Hermes,father
Hermaphroditus,Hermes,father
Selene,Hyperion,father
Helios,Hyperion,father
Eos,Hyperion,father
Zelus,Pallas,father
Bia,Pallas,father
Kratos,Pallas,father
Astraea,Astraeus,father
Prophasis,Epimetheus,father
Hesperus,Astraeus,father
Porphyrion,Zeus,killed by
Enceladus,Athena,killed by
Ephialtes,Apollo,killed by
Gration,Artemis,killed by
Polybotes,Poseidon,killed by
Alpos,Dionysus,killed by
Mimas,Hephaestus,killed by
Clytius,Hecate,killed by
Phoitos,Hera,killed by
Minthe,Persephone,killed by
Caanthus,Apollo,killed by
Minthe,Demeter,killed by
Pallas,Athena,killed by
Eurytos,Dionysus,killed by
Hippolytos,Hermes,killed by
Alcyoneus,Heracles,killed by
Athis,Perseus,killed by
Ephialtes,Heracles,killed by
Porphyrion,Heracles,killed by
Eurytos,Heracles,killed by
Tricca,Creusa,mother
Plataea,Metope,mother
Thespia,Metope,mother
Ismenus,Metope,mother
Chalcis,Metope,mother
Ornea,Metope,mother
Aegina,Metope,mother
Corcyra,Metope,mother
Chariclo,Stilbe,mother
Asopus,Celusa,mother
Daphne,Creusa,mother
Stilbe,Creusa,mother
Sinope,Metope,mother
Salamis,Metope,mother
Harpina,Metope,mother
Pirene,Metope,mother
Athis,Limnaee,mother
Athena,Coryphe,mother
Triton,Amphitrite,mother
Athena,Metis,mother
Calypso,Pleione,mother
Taygete,Pleione,mother
Maia,Pleione,mother
Rhodos,Amphitrite,mother
Adrasteia,Amalthea,mother
Cymopoleia,Amphitrite,mother
Porus,Metis,mother
Celaeno,Pleione,mother
Merope,Pleione,mother
Sterope,Pleione,mother
Alcyone,Pleione,mother
Electra,Pleione,mother
Beroe,Doris,mother
Scamander,Doris,mother
Thaleia,Doris,mother
Neaera,Doris,mother
Nerites,Doris,mother
Ephyra,Doris,mother
Orithyia,Doris,mother
Deiopea,Doris,mother
Plexaure,Doris,mother
Chione,Callirhoe,mother
Asopus,Eurynome,mother
Nike,Styx,mother
Calypso,Doris,mother
Amphitrite,Doris,mother
Hydaspes,Electra,mother
Persephone,Styx,mother
Echidna,Styx,mother
Echidna,Callirhoe,mother
Iris,Electra,mother
Zelus,Styx,mother
Bia,Styx,mother
Kratos,Styx,mother
Euphrosyne,Eurynome,mother
Pasithea,Eurynome,mother
Thalia,Eurynome,mother
Aglaea,Eurynome,mother
Morea,Hamadryas,mother
Pan,Penelope,mother
Ampelus,Hamadryas,mother
Q21286562,Hamadryas,mother
Aigeiros,Hamadryas,mother
Syke,Hamadryas,mother
Kraneia,Hamadryas,mother
Balanus,Hamadryas,mother
Carya,Hamadryas,mother
Ptelea,Hamadryas,mother
Circe,Perse,mother
Hippolytos,Gaia,mother
Anax,Gaia,mother
Pallas,Gaia,mother
Aristaeus,Gaia,mother
Astraios,Gaia,mother
Damasen,Gaia,mother
Eurytos,Gaia,mother
Hoplodamus,Gaia,mother
Athos,Gaia,mother
Cottus,Gaia,mother
Otus,Gaia,mother
Peloreus,Gaia,mother
Colophonus,Gaia,mother
Corydon,Gaia,mother
Effra,Gaia,mother
Halie,Thalassa,mother
Ourea,Gaia,mother
Scotus,Gaia,mother
Uranus,Gaia,mother
Eurymedon,Gaia,mother
Typhon,Gaia,mother
Nereus,Gaia,mother
Pontus,Gaia,mother
Charybdis,Gaia,mother
Oceanus,Gaia,mother
Tethys,Gaia,mother
Daphne,Gaia,mother
Phorcys,Gaia,mother
Ceto,Gaia,mother
Thaumas,Gaia,mother
Aegaeon,Gaia,mother
Eurybia,Gaia,mother
Eros,Nyx,mother
Aether,Nyx,mother
Chaos,Ananke,mother
Alcyoneus,Gaia,mother
Enceladus,Gaia,mother
Damysos,Gaia,mother
Alpos,Gaia,mother
Mimas,Gaia,mother
Clytius,Gaia,mother
Polybotes,Gaia,mother
Ephialtes,Gaia,mother
Emphytus,Gaia,mother
Porphyrion,Gaia,mother
Gration,Gaia,mother
Achlys,Nyx,mother
Hybris,Nyx,mother
Cronus,Gaia,mother
Mnemosyne,Gaia,mother
Rhea,Gaia,mother
Themis,Gaia,mother
Hyperion,Gaia,mother
Iapetos,Gaia,mother
Coeus,Gaia,mother
Phoebe,Gaia,mother
Theia,Gaia,mother
Kreios,Gaia,mother
Dione,Gaia,mother
Glauce,Gaia,mother
Pheme,Gaia,mother
Aergia,Gaia,mother
Andes,Gaia,mother
Geras,Nyx,mother
Oizys,Nyx,mother
Lycus,Thalassa,mother
Damon,Thalassa,mother
Aetna,Gaia,mother
Briareus,Gaia,mother
Gyges,Gaia,mother
Creusa,Gaia,mother
Nemesis,Nyx,mother
Aegaeon,Thalassa,mother
Apate,Nyx,mother
Philotes,Nyx,mother
Arke,Electra,mother
Echidna,Gaia,mother
Charon,Nyx,mother
Eris,Nyx,mother
Hypnos,Nyx,mother
Hemera,Nyx,mother
Morpheus,Nyx,mother
Thanatos,Nyx,mother
Eleos,Nyx,mother
Elpis,Nyx,mother
Epiphron,Nyx,mother
Kakia,Nyx,mother
Amicitia,Nyx,mother
Momus,Nyx,mother
Atropos,Nyx,mother
Clotho,Nyx,mother
Lachesis,Nyx,mother
Phantasos,Nyx,mother
Moros,Nyx,mother
Lyssa,Nyx,mother
Phobetor,Nyx,mother
Dolos,Nyx,mother
Phthonus,Nyx,mother
Adrasteia,Ananke,mother
Dolos,Gaia,mother
Basileia,Gaia,mother
Acmon,Gaia,mother
Dolor,Gaia,mother
Pan,Hybris,mother
Hermes,Maia,mother
Corus,Hybris,mother
Dike,Eusebia,mother
Anaurus,Tethys,mother
Anigrus,Tethys,mother
Ascanius,Tethys,mother
Baphyras,Tethys,mother
Brychon,Tethys,mother
Elisson,Tethys,mother
Erasinos,Tethys,mother
Termessus,Tethys,mother
Istrus,Tethys,mother
Aesepus,Tethys,mother
Symaithos,Tethys,mother
Cephissus,Tethys,mother
Ismenus,Tethys,mother
Evenus,Tethys,mother
Euphrates,Tethys,mother
Ganges,Tethys,mother
Pactolus,Tethys,mother
Calypso,Tethys,mother
Amalthea,Tethys,mother
Nemesis,Tethys,mother
Metis,Tethys,mother
Zeuxo,Tethys,mother
Tyche,Tethys,mother
Philyra,Tethys,mother
Pleione,Tethys,mother
Styx,Tethys,mother
Eurynome,Tethys,mother
Asia,Tethys,mother
Peitho,Tethys,mother
Rhodos,Tethys,mother
Argeia,Tethys,mother
Plouto,Tethys,mother
Hesione,Tethys,mother
Doris,Tethys,mother
Beroe,Tethys,mother
Clytie,Tethys,mother
Prymno,Tethys,mother
Callirhoe,Tethys,mother
Lysithea,Tethys,mother
Telesto,Tethys,mother
Electra,Tethys,mother
Thoe,Tethys,mother
Hippo,Tethys,mother
Amphiro,Tethys,mother
Eidyia,Tethys,mother
Xanthe,Tethys,mother
Pasithoe,Tethys,mother
Capheira,Tethys,mother
Galaxaura,Tethys,mother
Klytia,Tethys,mother
Asterope,Tethys,mother
Zeuxippe,Tethys,mother
Chryseis,Tethys,mother
Coryphe,Tethys,mother
Dodone,Tethys,mother
Eudore,Tethys,mother
Plexaure,Tethys,mother
Kretheis,Tethys,mother
Kytheros,Tethys,mother
Pleistos,Tethys,mother
Ilissos,Tethys,mother
Anapos,Tethys,mother
Asopus,Tethys,mother
Crinisus,Tethys,mother
Nilus,Tethys,mother
Inachus,Tethys,mother
Clitumnus,Tethys,mother
Alpheus,Tethys,mother
Enipeus,Tethys,mother
Hermus,Tethys,mother
Scamander,Tethys,mother
Eridanos,Tethys,mother
Sangarius,Tethys,mother
Peneus,Tethys,mother
Cebren,Tethys,mother
Caicus,Tethys,mother
Cladeus,Tethys,mother
Kydnos,Tethys,mother
Meander,Tethys,mother
Simoeis,Tethys,mother
Spercheus,Tethys,mother
Caystrus,Tethys,mother
Borysthenes,Tethys,mother
Haliacmon,Tethys,mother
Strymon,Tethys,mother
Phasis,Tethys,mother
Ladon,Tethys,mother
Asterion,Tethys,mother
Axius,Tethys,mother
Aeas,Tethys,mother
Phyllis,Tethys,mother
Apidanus,Tethys,mother
Ardescus,Tethys,mother
Granicus,Tethys,mother
Chremetes,Tethys,mother
Hydaspes,Tethys,mother
Hebrus,Tethys,mother
Aegaeus,Tethys,mother
Aesar,Tethys,mother
Amnisus,Tethys,mother
Aura,Orithyia,mother
Daeira,Tethys,mother
Acaste,Tethys,mother
Admete,Tethys,mother
Bolbe,Tethys,mother
Thrace,Tethys,mother
Europa,Tethys,mother
Evagore,Tethys,mother
Ephyra,Tethys,mother
Camarina,Tethys,mother
Cerceis,Tethys,mother
Ianire,Tethys,mother
Argie,Tethys,mother
Menestho,Tethys,mother
Melobosis,Tethys,mother
Ianthe,Tethys,mother
Kleio,Tethys,mother
Astraeus,Eurybia,mother
Pallas,Eurybia,mother
Perses,Eurybia,mother
Aethra,Tethys,mother
Asterodeia,Tethys,mother
Klymene,Tethys,mother
Caanthus,Tethys,mother
Periboea,Tethys,mother
Ceto,Tethys,mother
Ocyrhoe,Tethys,mother
Thoosa,Ceto,mother
Echidna,Ceto,mother
Tyche,Aphrodite,mother
Peitho,Aphrodite,mother
Rhodos,Aphrodite,mother
Prometheus,Klymene,mother
Atlas,Klymene,mother
Aegiale,Klymene,mother
Phaethusa,Klymene,mother
Lampetia,Klymene,mother
Phaethusa,Neaera,mother
Lampetia,Neaera,mother
Britomartis,Carme,mother
Thrassa,Tereine,mother
Aura,Periboea,mother
Rhodos,Halie,mother
Crotus,Eupheme,mother
Scylla,Crataeis,mother
Achelous,Nais,mother
Pan,Callisto,mother
Dioné,Aethra,mother
Helle,Nephele,mother
Nemea,Selene,mother
Lethe,Eris,mother
Boreas,Eos,mother
Zephyrus,Eos,mother
Euros,Eos,mother
Notus,Eos,mother
Caecias,Eos,mother
Lips,Eos,mother
Apeliotes,Eos,mother
Ponos,Eris,mother
Atë,Eris,mother
Dysnomia,Eris,mother
