char1Label,char1Type,relationLabel,char2Label,char2Type
Galaxaura,Okeanid,father,Oceanus,titan
Daeira,Okeanid,father,Oceanus,titan
Acaste,Okeanid,father,Oceanus,titan
Admete,Okeanid,father,Oceanus,titan
Bolbe,naiad,father,Oceanus,titan
Thrace,Okeanid,father,Oceanus,titan
Europa,Okeanid,father,Oceanus,titan
Evagore,Okeanid,father,Oceanus,titan
Ephyra,Okeanid,father,Oceanus,titan
Camarina,Okeanid,father,Oceanus,titan
Cerceis,Okeanid,father,Oceanus,titan
Plexaure,goddess,father,Nereus,Greek water deities
Hydaspes,Potamoi,father,Oceanus,titan
Hebrus,Potamoi,father,Oceanus,titan
Acheron,Potamoi,father,Oceanus,titan
Aegaeus,Potamoi,father,Oceanus,titan
Aesar,Potamoi,father,Oceanus,titan
Amnisus,Potamoi,father,Oceanus,titan
Anaurus,Potamoi,father,Oceanus,titan
Anigrus,Potamoi,father,Oceanus,titan
Ascanius,Potamoi,father,Oceanus,titan
Baphyras,Potamoi,father,Oceanus,titan
Brychon,Potamoi,father,Oceanus,titan
Elisson,Potamoi,father,Oceanus,titan
Erasinos,Potamoi,father,Oceanus,titan
Termessus,Potamoi,father,Oceanus,titan
Aesepus,Potamoi,father,Oceanus,titan
Symaithos,Potamoi,father,Oceanus,titan
Ismenus,Potamoi,father,Oceanus,titan
Evenus,Potamoi,father,Oceanus,titan
Ganges,Potamoi,father,Oceanus,titan
Pactolus,Potamoi,father,Oceanus,titan
Nerites,Greek water deities,father,Nereus,Greek water deities
Idotea,Greek water deities,father,Proteus,water deity
Briareus,Hecatoncheires,father,Aegaeon,Greek water deities
Ephyra,Okeanid,father,Nereus,Greek water deities
Crataeis,Greek nymph,father,Triton,Greek water deities
Calliste,Greek nymph,father,Triton,Greek water deities
Periboea,Greek nymph,father,Oceanus,titan
Borysthenes,river,father,Oceanus,titan
Haliacmon,Potamoi,father,Oceanus,titan
Strymon,Potamoi,father,Oceanus,titan
Bromie,Greek nymph,father,Oceanus,titan
Phasis,Potamoi,father,Oceanus,titan
Ladon,Potamoi,father,Oceanus,titan
Adrasteia,Greek nymph,father,Oceanus,titan
Asterion,Potamoi,father,Oceanus,titan
Ceto,water deity,father,Oceanus,titan
Aeas,Potamoi,father,Oceanus,titan
Ocyrhoe,Greek nymph,father,Oceanus,titan
Dodone,Greek nymph,father,Oceanus,titan
Deino,Greek nymph,father,Oceanus,titan
Asterodeia,Greek nymph,father,Oceanus,titan
Klymene,Greek nymph,father,Oceanus,titan
Chariclo,Greek nymph,father,Oceanus,titan
Cladeus,Potamoi,father,Oceanus,titan
Kydnos,river,father,Oceanus,titan
Meander,Potamoi,father,Oceanus,titan
Neda,Greek nymph,father,Oceanus,titan
Pamisus,Potamoi,father,Oceanus,titan
Caanthus,Greek water deities,father,Oceanus,titan
Simoeis,Potamoi,father,Oceanus,titan
Spercheus,Potamoi,father,Oceanus,titan
Caystrus,Potamoi,father,Oceanus,titan
Aethra,Greek nymph,father,Oceanus,Greek water deities
Leuce,Greek nymph,father,Oceanus,Greek water deities
Nephele,Greek nymph,father,Oceanus,Greek water deities
Thaleia,Greek nymph,father,Nereus,Greek water deities
Neaera,deity,father,Nereus,Greek water deities
Hydaspes,Potamoi,father,Thaumas,Greek water deities
Orithyia,Greek nymph,father,Nereus,Greek water deities
Deiopea,Greek nymph,father,Nereus,Greek water deities
Glyce,Greek nymph,father,Nereus,Greek water deities
Cabeiro,Greek nymph,father,Proteus,water deity
Iris,goddess,father,Thaumas,Greek water deities
Arke,Greek deity,father,Thaumas,Greek water deities
Tyche,Okeanid,father,Zeus,thunder deity
Aletheia,daemon,father,Zeus,thunder deity
Eros,personification,father,Ares,Greek deity
Rhodos,Okeanid,father,Poseidon,water deity
Amalthea,Okeanid,father,Helios,solar deity
Aegiale,Greek nymph,father,Helios,solar deity
Phaethusa,Greek nymph,father,Helios,solar deity
Lampetia,Greek nymph,father,Helios,solar deity
Ares,Olympian god,father,Zeus,thunder deity
Hermes,Olympian god,father,Zeus,thunder deity
Heracles,demigod of Greek mythology,father,Zeus,thunder deity
Perseus,Greek heroes,father,Zeus,thunder deity
Hebe,goddess,father,Zeus,thunder deity
Ceroessa,Greek nymph,father,Zeus,thunder deity
Thrassa,Greek nymph,father,Ares,Greek deity
Cymopoleia,Greek nymph,father,Poseidon,water deity
Nysa,Greek nymph,father,Aristaeus,Greek deity
Macris,Greek nymph,father,Aristaeus,Greek deity
Dike,Greek deity,father,Nomos,Greek deity
Ersa,goddess,father,Zeus,thunder deity
Atë,allegorical Greek deity,father,Zeus,thunder deity
Dike,Greek deity,father,Zeus,thunder deity
Scamander,Potamoi,father,Zeus,thunder deity
Amyrus,Potamoi,father,Poseidon,water deity
Thysa,Greek nymph,father,Dionysus,nature deity
Thalia,Greek nymph,father,Hephaestus,Greek deity
Phasis,Potamoi,father,Helios,solar deity
Artemis,lunar deity,father,Zeus,thunder deity
Aegle,naiad,father,Zeus,thunder deity
Aphrodite,goddess,father,Zeus,thunder deity
Athena,goddess,father,Zeus,thunder deity
Apollo,solar deity,father,Zeus,thunder deity
Mnemosyne,titan,father,Zeus,thunder deity
Astris,Greek nymph,father,Helios,solar deity
Beroe,Greek nymph,father,Adonis,Greek deity
Hamadryas,dryad,father,Oreius,Greek deity
Menoites,daemon,father,Keuthonymos,Greek deity
Chariclo,Greek nymph,father,Apollo,solar deity
Triton,Greek water deities,father,Poseidon,water deity
Proteus,water deity,father,Poseidon,water deity
Charybdis,sea monster,father,Poseidon,water deity
Glaucus,Greek water deities,father,Poseidon,water deity
Benthesikyme,Greek water deities,father,Poseidon,water deity
Caanthus,Greek water deities,father,Poseidon,water deity
Apollonis,Muses Apollonides,father,Apollo,solar deity
Chrysus,daemon,father,Zeus,thunder deity
Eurymedon,daemon,father,Hephaestus,Greek deity
Phaethousa,Greek nymph,father,Helios,solar deity
Opus II,demigod of Greek mythology,father,Zeus,thunder deity
Eirene,personification,father,Zeus,thunder deity
Aristaeus,Greek deity,father,Apollo,solar deity
Cephisso,Muses Apollonides,father,Apollo,solar deity
Crotus,mythological Greek character,father,Pan,nature deity
Circe,Greek deity,father,Helios,solar deity
Morpheus,Greek deity,father,Hypnos,Greek deity
Phantasos,Greek deity,father,Hypnos,Greek deity
Phobetor,Greek deity,father,Hypnos,Greek deity
Carpo,Greek deity,father,Zeus,thunder deity
Euphrosyne,Greek deity,father,Zeus,thunder deity
Astraea,goddess,father,Zeus,thunder deity
Enyo,Greek deity,father,Zeus,thunder deity
Atropos,Greek deity,father,Zeus,thunder deity
Auxo,mythological Greek character,father,Zeus,thunder deity
Clotho,Greek deity,father,Zeus,thunder deity
Britomartis,Greek deity,father,Zeus,thunder deity
Lachesis,Greek deity,father,Zeus,thunder deity
Eunomia,Greek deity,father,Zeus,thunder deity
Pandia,goddess,father,Zeus,thunder deity
Hymen,nature deity,father,Apollo,solar deity
Phobos,Greek deity,father,Ares,Greek deity
Deimos,Greek deity,father,Ares,Greek deity
Anteros,Greek deity,father,Ares,Greek deity
Harmonia,mythological Greek character,father,Ares,Greek deity
Aeolus,mythological Greek character,father,Poseidon,water deity
Zagreus,Greek deity,father,Hades,death deity
Hymen,nature deity,father,Dionysus,nature deity
Hygieia,Greek deity,father,Asclepius,Greek deity
Aceso,mythological Greek character,father,Asclepius,Greek deity
Panacea,Greek deity,father,Asclepius,Greek deity
Hephaestus,Greek deity,father,Zeus,Greek deity
Persephone,Greek deity,father,Zeus,Greek deity
Eileithyia,goddess,father,Zeus,Greek deity
Hecate,goddess,father,Zeus,Greek deity
Zagreus,Greek deity,father,Zeus,Greek deity
Dionysus,nature deity,father,Zeus,Olympian god
Asclepius,Greek deity,father,Apollo,solar deity
Enyalius,epithet,father,Ares,Greek deity
Himeros,Greek deity,father,Ares,Greek deity
Adrestia,goddess,father,Ares,Greek deity
Despoina,mythological Greek character,father,Poseidon,water deity
Phaunos,Greek deity,father,Poseidon,water deity
Pasithea,Greek deity,father,Dionysus,nature deity
Phthonus,personification,father,Dionysus,nature deity
Staphylus,mythological Greek character,father,Dionysus,nature deity
Eucleia,mythological Greek character,father,Hephaestus,Greek deity
Philophrosyne,Greek deity,father,Hephaestus,Greek deity
Cadmilus,mythological Greek character,father,Hephaestus,Greek deity
Telesphorus,Greek deity,father,Asclepius,Greek deity
Aegle,Greek deity,father,Asclepius,Greek deity
Homonoia,mythological Greek character,father,Soter,Greek deity
Angelia,Greek deity,father,Hermes,Olympian god
Ctesius,Greek deity,father,Soter,Greek deity
Eupraxia,Greek deity,father,Soter,Greek deity
Tyche,Okeanid,father,Hermes,Olympian god
Pasithea,Greek deity,father,Zeus,thunder deity
Thallo,mythological Greek character,father,Zeus,thunder deity
Thalia,Greek deity,father,Zeus,thunder deity
Angelos,Greek deity,father,Zeus,thunder deity
Caerus,personification,father,Zeus,thunder deity
Melinoe,Greek deity,father,Zeus,thunder deity
Basileia,Greek deity,father,Zeus,thunder deity
Aglaea,Greek deity,father,Zeus,thunder deity
Aphrodite Pandemos,epithet,father,Zeus,thunder deity
Calligeneia,mythological Greek character,father,Zeus,thunder deity
Adrasteia,Greek deity,father,Zeus,thunder deity
Calypso,Okeanid,father,Atlas,titan
Epimetheus,titan,father,Iapetos,titan
Prometheus,titan,father,Iapetos,titan
Atlas,titan,father,Iapetos,titan
Leto,titan,father,Coeus,titan
Lelantos,titan,father,Coeus,titan
Poseidon,Greek deity,father,Cronus,titan
Hestia,Greek deity,father,Cronus,titan
Nike,goddess,father,Pallas,titan
Chariclo,Greek nymph,father,Perses,titan
Aura,Greek nymph,father,Lelantos,titan
Taygete,Pleiades,father,Atlas,titan
Menoetius,titan,father,Iapetos,titan
Anchiale,titan,father,Iapetos,titan
Asteria,titan,father,Coeus,titan
Euros,Anemoi,father,Astraeus,titan
Notus,Anemoi,father,Astraeus,titan
Caecias,Anemoi,father,Astraeus,titan
Lips,wind,father,Astraeus,titan
Apeliotes,Anemoi,father,Astraeus,titan
Sciron,Anemoi,father,Astraeus,titan
Argestes,Anemoi,father,Astraeus,titan
Astraeus,titan,father,Kreios,titan
Pallas,titan,father,Kreios,titan
Perses,titan,father,Kreios,titan
Phaenon,Astra Planeta,father,Astraeus,titan
Pyroeis,Astra Planeta,father,Astraeus,titan
Maia,Pleiades,father,Atlas,titan
Merope,Pleiades,father,Atlas,titan
Sterope,Pleiades,father,Atlas,titan
Electra,Pleiades,father,Atlas,titan
Zeus,thunder deity,father,Cronus,titan
Hera,fertility deity,father,Cronus,titan
Demeter,goddess,father,Cronus,titan
Stilbon,titan,father,Astraeus,titan
Boreas,personification,father,Astraeus,titan
Zephyrus,Anemoi,father,Astraeus,titan
Celaeno,Greek nymph,father,Atlas,titan
Alcyone,Greek nymph,father,Atlas,titan
Dioné,Greek nymph,father,Atlas,titan
Keltos,mythological Greek character,father,Heracles,demigod of Greek mythology
Eucleia,mythological Greek character,father,Heracles,demigod of Greek mythology
Coronis,Greek nymph,father,Atlas,titan
Hecate,goddess,father,Perses,titan
Hades,death deity,father,Cronus,titan
Pothos,mythological Greek character,father,Cronus,titan
Aidos,Greek deity,father,Prometheus,titan
Pan,nature deity,father,Hermes,Olympian god
Hermaphroditus,Greek deity,father,Hermes,Olympian god
Selene,goddess,father,Hyperion,titan
Helios,solar deity,father,Hyperion,titan
Eos,personification,father,Hyperion,titan
Zelus,Greek deity,father,Pallas,titan
Bia,goddess,father,Pallas,titan
Kratos,Greek deity,father,Pallas,titan
Astraea,goddess,father,Astraeus,titan
Prophasis,Greek deity,father,Epimetheus,titan
Hesperus,Greek deity,father,Astraeus,titan
Porphyrion,Giants,killed by,Zeus,thunder deity
Enceladus,Giants,killed by,Athena,goddess
Ephialtes,Giants,killed by,Apollo,solar deity
Gration,Giants,killed by,Artemis,lunar deity
Polybotes,Giants,killed by,Poseidon,water deity
Alpos,Giants,killed by,Dionysus,nature deity
Mimas,Giants,killed by,Hephaestus,Greek deity
Clytius,Giants,killed by,Hecate,goddess
Phoitos,Giants,killed by,Hera,fertility deity
Minthe,Greek nymph,killed by,Persephone,Greek deity
Caanthus,Greek water deities,killed by,Apollo,solar deity
Minthe,Greek nymph,killed by,Demeter,goddess
Pallas,Giants,killed by,Athena,goddess
Eurytos,Giants,killed by,Dionysus,nature deity
Hippolytos,Giants,killed by,Hermes,Olympian god
Alcyoneus,Giants,killed by,Heracles,demigod of Greek mythology
Athis,demigod of Greek mythology,killed by,Perseus,Greek heroes
Ephialtes,Giants,killed by,Heracles,demigod of Greek mythology
Porphyrion,Giants,killed by,Heracles,demigod of Greek mythology
Eurytos,Giants,killed by,Heracles,demigod of Greek mythology
Tricca,Greek nymph,mother,Creusa,naiad
Plataea,naiad,mother,Metope,naiad
Thespia,Greek nymph,mother,Metope,naiad
Ismenus,Potamoi,mother,Metope,naiad
Chalcis,Greek nymph,mother,Metope,naiad
Ornea,Greek nymph,mother,Metope,naiad
Aegina,Greek nymph,mother,Metope,naiad
Corcyra,Greek nymph,mother,Metope,naiad
Chariclo,Greek nymph,mother,Stilbe,naiad
Asopus,Potamoi,mother,Celusa,Oread
Daphne,naiad,mother,Creusa,naiad
Stilbe,naiad,mother,Creusa,naiad
Sinope,naiad,mother,Metope,naiad
Salamis,Greek nymph,mother,Metope,naiad
Harpina,Greek nymph,mother,Metope,naiad
Pirene,naiad,mother,Metope,naiad
